code,name,category,price,entry_date,expiry_date,stock,unit
LIB001,Colores FABER-CASTELL SuperSoft Blíster,Librería,36.90,2024-10-12,2025-10-12,24,un
LIB002,Plumones FABER CASTELL Fiesta 45 Estuche,Librería,56.50,2024-10-12,2025-10-12,48,un
LIB003,Tijera para Oficina VINIFAN 17 cm,Librería,4.70,2024-10-12,2025-10-12,1,un
LIB004,Pegamento VINIFAN Silicona líquida,Librería,4.30,2024-10-12,2025-10-12,100,ml
LIB005,Lápices Bicolor VINIFAN Bicolor Caja,Librería,6.90,2024-10-12,2025-10-12,12,un
LIB006,Plumones FABER-CASTELL Fiesta Caja,Librería,79.90,2024-10-12,2025-10-12,60,un
LIB007,Grapas RAPID Caja,Librería,4.40,2024-10-12,2025-10-12,500,un
LIB008,Libro Infantil DISTRIBUIDORA GRÁFICA Pinta y Diviertete con La Sirenita,Librería,4.90,2024-10-12,2025-10-12,1,un
LIB009,Libro Infantil DISTRIBUIDORA GRÁFICA Pinta y Diviertete con Mickey,Librería,4.90,2024-10-12,2025-10-12,1,un
LIB010,Libro Infantil DISTRIBUIDORA GRÁFICA Pinta y Diviertete con Minnie,Librería,4.90,2024-10-12,2025-10-12,1,un
LIB011,Libro Infantil DISTRIBUIDORA GRÁFICA Pinta y Diviertete con Frozen,Librería,4.90,2024-10-12,2025-10-12,1,un
LIB012,Libro Infantil DISTRIBUIDORA GRÁFICA Pinta y Diviertete con Princesas,Librería,4.90,2024-10-12,2025-10-12,1,un
LIB013,Libro Infantil DISTRIBUIDORA GRÁFICA Pinta y Diviertete con Encanto,Librería,4.90,2024-10-12,2025-10-12,1,un
LIB014,Libro DGNOTTAS Escalera de Colores (Modelos Aleatorios),Librería,16.90,2024-10-12,2025-10-12,1,un
LIB015,Libro DGNOTTAS ¿Quién está ahí? (Modelos Aleatorios),Librería,13.90,2024-10-12,2025-10-12,1,un
LIB016,Aqua Art MAPED Barbie,Librería,95.90,2024-10-12,2025-10-12,1,un
LIB017,Scrapbook MAPED Barbie,Librería,105.90,2024-10-12,2025-10-12,1,un
LIB018,Libro DGNOTTAS Peque-Puzzle (Modelos Aleatorios),Librería,16.90,2024-10-12,2025-10-12,1,un
LIB019,Cuaderno Anillado CLASS&WORK Tapa Dura Cuadriculado 160 Hojas 5 Divisones,Librería,10.90,2024-10-12,2025-10-12,1,un
LIB020,Cuaderno Anillado SURCO Cuadriculado 160 Hojas 5 Divisones,Librería,7.70,2024-10-12,2025-10-12,1,un
LIB021,Cuaderno Anillado MINERVA Cuadriculado 160 Hojas 5 Divisones,Librería,33.50,2024-10-12,2025-10-12,1,un
LIB022,Bloques Armables Loz Street Mini - LIBRERIA,Librería,50.00,2024-10-12,2025-10-12,1,un
LIB023,Altavoces de Librería Sony Ss Cs5 de 3 Vías Negro Par,Librería,1689.00,2024-10-12,2025-10-12,1,un
